[Tue Feb 21 08:15:59.177257 2017] [autoindex:error] [pid 5440] [client 132.177.241.156:50764] AH01276: Cannot serve directory /web/daw1002/htdocs/: No matching DirectoryIndex (index.html,index.php) found, and server-generated directory index forbidden by Options directive
[Tue Feb 28 15:56:31.185114 2017] [:error] [pid 32405] [client 132.177.241.156:33050] PHP Notice:  Undefined index: initialpass in /web/daw1002/htdocs/login.php on line 14, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 15:56:31.185684 2017] [:error] [pid 32405] [client 132.177.241.156:33050] PHP Fatal error:  Call to a member function bind_param() on a non-object in /web/daw1002/htdocs/login.php on line 26, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 15:57:31.604070 2017] [:error] [pid 21622] [client 132.177.241.156:33056] PHP Notice:  Undefined index: intialemail in /web/daw1002/htdocs/login.php on line 12, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 15:57:31.604101 2017] [:error] [pid 21622] [client 132.177.241.156:33056] PHP Notice:  Undefined index: initialpass in /web/daw1002/htdocs/login.php on line 14, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 15:57:53.490605 2017] [:error] [pid 22049] [client 132.177.241.156:33060] PHP Notice:  Undefined index: intialemail in /web/daw1002/htdocs/login.php on line 12, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 15:57:53.490637 2017] [:error] [pid 22049] [client 132.177.241.156:33060] PHP Notice:  Undefined index: initialpass in /web/daw1002/htdocs/login.php on line 14, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 15:59:33.174921 2017] [:error] [pid 1965] [client 132.177.241.156:33070] PHP Notice:  Undefined index: intialemail in /web/daw1002/htdocs/login.php on line 12, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 15:59:33.174956 2017] [:error] [pid 1965] [client 132.177.241.156:33070] PHP Notice:  Undefined index: initialpass in /web/daw1002/htdocs/login.php on line 14, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 16:00:51.668022 2017] [:error] [pid 32045] [client 132.177.241.156:33098] PHP Notice:  Undefined index: intialemail in /web/daw1002/htdocs/login.php on line 12, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 16:02:05.621669 2017] [:error] [pid 32405] [client 132.177.241.156:33120] PHP Notice:  Undefined index: intialemail in /web/daw1002/htdocs/login.php on line 12, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 16:02:20.724709 2017] [:error] [pid 21622] [client 132.177.241.156:33124] PHP Notice:  Undefined index: intialemail in /web/daw1002/htdocs/login.php on line 12, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 16:08:07.992035 2017] [:error] [pid 21622] [client 132.177.241.156:33388] PHP Notice:  Undefined index: intialemail in /web/daw1002/htdocs/login.php on line 12, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 16:10:44.575462 2017] [:error] [pid 32390] [client 132.177.241.156:33490] PHP Notice:  Undefined index: intialemail in /web/daw1002/htdocs/login.php on line 12, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 16:10:52.786075 2017] [:error] [pid 32390] [client 132.177.241.156:33490] PHP Notice:  Undefined index: intialemail in /web/daw1002/htdocs/login.php on line 12, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 16:13:15.242588 2017] [:error] [pid 32669] [client 132.177.241.156:33520] PHP Notice:  Undefined index: intialemail in /web/daw1002/htdocs/login.php on line 12, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 16:17:54.047708 2017] [:error] [pid 32390] [client 132.177.241.156:33556] PHP Notice:  Undefined index: error in /web/daw1002/htdocs/login.php on line 30, referer: http://daw1002.sr.unh.edu/
[Tue Feb 28 16:19:15.450993 2017] [:error] [pid 32669] [client 132.177.241.156:33610] PHP Notice:  Undefined index: error in /web/daw1002/htdocs/login.php on line 30, referer: http://daw1002.sr.unh.edu/
[Thu Mar 02 14:35:59.704237 2017] [:error] [pid 25779] [client 132.177.241.156:56246] PHP Notice:  Undefined property: mysqli_stmt::$numb_rows in /web/daw1002/htdocs/login.php on line 32, referer: http://daw1002.sr.unh.edu/index.php
[Thu Mar 02 14:37:02.246298 2017] [:error] [pid 26280] [client 132.177.241.156:56252] PHP Notice:  Undefined property: mysqli_stmt::$numb_rows in /web/daw1002/htdocs/login.php on line 33, referer: http://daw1002.sr.unh.edu/index.php
[Thu Mar 02 14:37:13.114032 2017] [:error] [pid 25779] [client 132.177.241.156:56254] PHP Notice:  Undefined property: mysqli_stmt::$numb_rows in /web/daw1002/htdocs/login.php on line 33, referer: http://daw1002.sr.unh.edu/index.php
[Thu Mar 02 15:43:06.114058 2017] [:error] [pid 26408] [client 132.177.241.156:58532] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 15:43:06.114091 2017] [:error] [pid 26408] [client 132.177.241.156:58532] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 15:43:06.114099 2017] [:error] [pid 26408] [client 132.177.241.156:58532] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 62
[Thu Mar 02 15:44:18.506058 2017] [:error] [pid 27655] [client 132.177.241.156:58540] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 15:44:18.506110 2017] [:error] [pid 27655] [client 132.177.241.156:58540] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 15:44:18.506119 2017] [:error] [pid 27655] [client 132.177.241.156:58540] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 62
[Thu Mar 02 15:44:19.057504 2017] [:error] [pid 27655] [client 132.177.241.156:58540] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 15:44:19.057545 2017] [:error] [pid 27655] [client 132.177.241.156:58540] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 61
[Thu Mar 02 15:44:19.057554 2017] [:error] [pid 27655] [client 132.177.241.156:58540] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 62
[Thu Mar 02 15:44:19.326990 2017] [:error] [pid 27655] [client 132.177.241.156:58540] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 61
